,Date,Ticker,Price,stock_p_change,Status
570,12/31/2015,AMT,93.63,11.21,1
571,10/21/2016,AMT,113.39,21.25,1
572,11/25/2016,AMT,105.15,38.19,1
573,12/13/2016,AMT,104.01,38.19,1
574,12/30/2016,AMT,104.13,35.95,1
575,10/23/2017,AMT,138.75,2.03,0
576,11/28/2017,AMT,148.64,-4.76,0
577,12/14/2017,AMT,143.64,-1.45,0
578,12/12/2013,AMZN,381.25,-19.39,0
579,12/31/2013,AMZN,398.79,-22.18,0
580,10/22/2014,AMZN,312.97,80.18,1
581,11/25/2014,AMZN,335.04,101.57,1
582,12/12/2014,AMZN,307.32,119.75,1
583,12/31/2014,AMZN,310.35,117.78,1
584,10/22/2015,AMZN,563.91,45.23,1
585,11/25/2015,AMZN,675.34,15.5,1
586,12/14/2015,AMZN,657.91,17.7,1
587,12/31/2015,AMZN,675.89,10.95,1
588,10/21/2016,AMZN,818.99,21.74,1
589,11/25/2016,AMZN,780.37,48.16,1
590,12/13/2016,AMZN,774.34,50.34,1
591,12/30/2016,AMZN,749.87,57.66,1
592,10/23/2017,AMZN,966.3,22.35,1
593,11/28/2017,AMZN,1193.6,-0.95,0
594,12/14/2017,AMZN,1174.26,0.68,0
595,12/12/2013,AN,49.61,15.6,1
596,12/31/2013,AN,49.69,21.57,1
597,10/22/2014,AN,50.49,22.08,1
598,11/25/2014,AN,58.8,9.88,1
599,12/12/2014,AN,57.35,12.66,1
600,12/31/2014,AN,60.41,-1.24,0
601,10/22/2015,AN,61.64,-24.04,0
602,11/25/2015,AN,64.61,-30.3,0
603,12/14/2015,AN,61.11,-21.47,0
604,12/31/2015,AN,59.66,-18.45,0
605,10/21/2016,AN,46.82,,0
606,11/25/2016,AN,44.79,,0
607,12/13/2016,AN,47.99,,0
