,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
438,N/A,N/A,sai,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A
439,N/A,N/A,sbux,N/A,N/A,N/A,N/A,N/A,N/A,24.66,3.56,N/A,14.47,16.23,10.48,N/A,25.81,104940000000.0,124630000000.0,27.17,2.38,4.10,16.40,30360000000.0,8439999999.999999,6450000000.0,4390000000.0,3.70,31.10,19.30,4059999999.9999995,3.53,23750000000.0,0.81,7.34,6020000000.0,4059999999.9999995,0.90,0.18,71.08,10360000.0,1.08,0.90,11160000.0,N/A
440,N/A,N/A,scg,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A
441,N/A,N/A,schl,N/A,N/A,N/A,N/A,N/A,7.86,40.48,0.95,1.20,2.38,4.54,2.18,3.10,44.31,1420000000.0,1210000000.0,N/A,N/A,0.79,9.11,1530000000.0,633800000.0,106400000.0,36400000.0,1.02,N/A,24.10,308900000.0,8.98,93200000.0,1.50,34.39,213000000.0,231890000.0,0.77,36.15,84.44,3.21,3.21,2.05,0.6,N/A
442,N/A,N/A,schw,N/A,N/A,N/A,N/A,N/A,56.63,32.23,9.34,3.73,31.61,44.10,0.96,10.42,9.81,172760000000.0,N/A,25.77,1.19,N/A,N/A,18520000000.0,17930000000.0,N/A,5360000000.0,2.83,39.20,12.70,119090000000.0,62.88,31860000000.0,0.42,24.46,2120000000.0,N/A,1.01,7.18,88.67,12570000.0,1.63,0.75,14150000.0,N/A
443,N/A,N/A,sd,N/A,N/A,N/A,N/A,N/A,0.32,5.28,3.65,2.47,69.12,56.83,19.55,62.53,4.64,606230000.0,537890000.0,N/A,N/A,3.18,4.06,168880000.0,122970000.0,115470000.0,116740000.0,3.13,N/A,79.70,137260000.0,3.75,0.32,2.53,6.70,110260000.0,64680000.00000001,2.69,2.24,61.39,0.65,0.65,2.31,N/A,N/A
444,N/A,N/A,se,N/A,N/A,N/A,N/A,N/A,57.29,N/A,6.82,9.60,20.56,15.90,6.77,37.68,18.69,71030000000.0,65129999999.99999,N/A,N/A,6.54,41.32,9960000000.0,3900000000.0,1300000000.0,2049999999.9999998,3.84,N/A,105.70,10160000000.0,18.35,4250000000.0,2.11,13.36,208650000.0,328790000.0,1.43,35.58,74.47,21400000.0,1.71,N/A,18430000.0,N/A
445,N/A,N/A,see,N/A,N/A,N/A,N/A,N/A,517.41,21.79,1.93,41.80,9.16,15.80,8.87,233.24,36.67,10400000000.0,13610000000.0,17.12,N/A,2.46,12.71,5530000000.0,1680000000.0,1060000000.0,491200000.0,3.32,27.20,14.20,561000000.0,3.79,3770000000.0,1.03,1.68,709700000.0,464420000.0,1.26,0.71,92.97,1990000.0,1.56,1.75,1860000.0,N/A
446,N/A,N/A,sfly,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A
447,N/A,N/A,shld,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A
