,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
33,N/A,N/A,bdx,N/A,N/A,N/A,N/A,N/A,72.12,46.67,3.93,3.18,8.86,15.01,3.46,7.23,69.24,76800000000.0,92310000000.0,20.92,1.92,4.63,20.37,19930000000.0,9580000000.0,5270000000.0,1680000000.0,5.76,32.50,6.00,1910000000.0,6.71,17420000000.0,1.23,84.83,3790000000.0,3190000000.0,0.66,0.78,88.97,3890000.0,2.94,1.37,4340000.0,N/A
34,N/A,N/A,ben,N/A,N/A,N/A,N/A,N/A,29.48,7.67,1.64,1.26,22.41,25.56,5.98,17.80,17.68,14550000000.0,18070000000.0,7.88,5.29,2.09,6.05,8650000000.0,3540000000.0,2520000000.0,1860000000.0,3.78,31.20,11.50,4179999999.9999995,8.32,3880000000.0,3.68,22.99,1120000000.0,720300000.0,1.19,43.10,45.19,13880000.0,4.61,4.86,11780000.0,N/A
35,N/A,N/A,biib,N/A,N/A,N/A,N/A,N/A,70.19,20.67,2.93,2.90,14.17,31.29,8.85,15.96,73.65,31590000000.0,35390000000.0,13.89,8.03,3.22,12.29,10980000000.0,8870000000.0,3920000000.0,1560000000.0,10.40,2.90,4.20,3800000000.0,25.87,7690000000.0,1.83,74.12,3640000000.0,2210000000.0,0.45,0.68,86.56,2200000.0,1.96,1.69,2540000.0,N/A
36,N/A,N/A,bks,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A
37,N/A,N/A,blk,N/A,N/A,N/A,N/A,N/A,23.99,20.23,6.16,3.12,30.46,38.63,2.84,16.21,127.26,117570000000.0,117560000000.0,18.32,1.82,6.07,13.37,19370000000.0,9820000000.0,7900000000.0,5900000000.0,38.22,6.10,14.00,9070000000.0,59.67,9330000000.0,1.67,248.50,4940000000.0,5700000000.0,1.24,1.10,85.04,1670000.0,1.86,1.11,1580000.0,N/A
38,N/A,N/A,bll,N/A,N/A,N/A,N/A,N/A,221.36,34.30,2.18,8.05,6.36,10.38,4.72,25.01,42.37,29190000000.0,36790000000.0,22.42,2.15,2.66,18.60,13810000000.0,2730000000.0,2130000000.0,878000000.0,2.65,30.80,18.40,563000000.0,1.75,8160000000.0,0.88,11.35,1760000000.0,116120000.0,0.50,0.68,86.28,8380000.000000001,4.89,2.94,7710000.0,N/A
39,N/A,N/A,bms,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A
40,N/A,N/A,bsx,N/A,N/A,N/A,N/A,N/A,57.30,65.00,5.41,3.86,8.76,16.90,3.99,6.52,8.36,64110000000.0,71640000000.0,25.51,1.76,6.03,28.54,11890000000.0,8240000000.0,3100000000.0,986000000.0,0.69,54.80,15.40,1920000000.0,1.35,9530000000.0,1.48,11.66,1870000000.0,2770000000.0,0.84,0.24,93.12,13820000.0,1.57,0.97,17650000.0,N/A
41,N/A,N/A,bwa,N/A,N/A,N/A,N/A,N/A,62.27,17.89,0.65,1.38,3.62,9.77,5.55,9.14,62.32,9620000000.0,12300000000.0,9.18,0.45,0.83,7.38,14840000000.0,2850000000.0,2220000000.0,537000000.0,2.24,64.00,6.90,1840000000.0,7.67,4520000000.0,1.74,28.98,1310000000.0,754500000.0,1.43,0.58,96.49,8880000.0,3.31,4.16,8800000.0,N/A
42,N/A,N/A,bxp,N/A,N/A,N/A,N/A,N/A,166.13,41.80,7.17,3.56,17.63,33.99,2.69,7.72,18.36,20760000000.0,33650000000.0,45.66,21.02,11.65,18.95,2870000000.0,1830000000.0,1680000000.0,496220000.0,3.17,689.80,11.80,452690000.0,2.89,13350000000.0,3.17,37.27,1130000000.0,959700000.0,1.11,0.18,100.80,5490000.0,6.26,4.66,5430000.0,N/A
43,N/A,N/A,cag,N/A,N/A,N/A,N/A,N/A,110.08,14.65,1.44,1.85,9.82,15.90,4.97,12.81,23.30,16020000000.0,25340000000.0,12.15,1.97,2.26,12.95,11220000000.0,3220000000.0,2120000000.0,1100000000.0,2.28,27.30,2.10,68700000.0,0.14,9640000000.0,0.93,18.09,1190000000.0,640590000.0,0.77,0.44,85.50,12760000.0,2.67,3.60,10100000.0,N/A
44,N/A,N/A,cah,N/A,N/A,N/A,N/A,N/A,563.17,29.85,0.10,15.99,0.32,1.08,2.62,37.35,596.82,15960000000.0,18440000000.0,9.99,0.59,0.11,22.17,171290000000.0,6970000000.0,2560000000.0,555000000.0,1.92,92.20,9.40,3160000000.0,11.41,5640000000.0,1.15,3.60,1490000000.0,859370000.0,0.91,0.44,87.58,2.44,2.44,2.49,6600000.0,N/A
